VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-01-01 00:07:40,2020-01-01 00:26:23,1.0,1.9,1.0,N,43,170,1.0,12.5,3.0,0.5,1.0,0.0,0.3,17.3,2.5
2,2020-01-01 00:07:41,2020-01-01 00:21:44,1.0,3.55,1.0,N,141,7,2.0,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5
2,2020-01-01 00:07:42,2020-01-01 00:15:30,2.0,1.05,1.0,N,148,79,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
2,2020-01-01 00:07:45,2020-01-01 00:21:45,1.0,1.49,1.0,N,79,90,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
2,2020-01-01 00:07:46,2020-01-01 00:16:50,2.0,0.66,1.0,N,170,164,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
2,2020-01-01 00:07:47,2020-01-01 00:17:51,5.0,3.97,1.0,N,263,226,2.0,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5
2,2020-01-01 00:07:48,2020-01-01 23:35:45,1.0,2.74,1.0,N,162,75,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
2,2020-01-01 00:07:50,2020-01-01 00:12:17,1.0,1.27,1.0,N,141,263,1.0,6.0,0.5,0.5,0.98,0.0,0.3,10.78,2.5
2,2020-01-01 00:07:51,2020-01-01 00:24:36,1.0,3.22,1.0,N,237,79,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
2,2020-01-01 00:07:59,2020-01-01 00:25:02,2.0,2.02,1.0,N,158,107,1.0,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
2,2020-01-01 00:08:03,2020-01-01 00:20:19,3.0,1.23,1.0,N,79,234,1.0,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
1,2020-01-01 00:08:04,2020-01-01 00:20:15,2.0,0.5,1.0,N,163,161,2.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
2,2020-01-01 00:08:06,2020-01-01 00:22:18,1.0,1.78,1.0,N,68,137,1.0,10.5,0.5,0.5,2.86,0.0,0.3,17.16,2.5
2,2020-01-01 00:08:06,2020-01-01 00:13:58,2.0,1.81,1.0,N,229,262,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
2,2020-01-01 00:08:06,2020-01-01 00:12:32,1.0,0.58,1.0,N,211,231,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
2,2020-01-01 00:08:08,2020-01-01 00:09:58,1.0,0.72,1.0,N,141,262,1.0,4.0,0.5,0.5,0.0,0.0,0.3,7.8,2.5
1,2020-01-01 00:08:12,2020-01-01 00:15:02,1.0,1.2,1.0,N,144,87,1.0,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
2,2020-01-01 00:08:15,2020-01-01 00:11:18,1.0,0.89,1.0,N,151,238,2.0,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
2,2020-01-01 00:08:17,2020-01-01 00:23:43,1.0,1.86,1.0,N,249,170,1.0,11.5,0.5,0.5,1.0,0.0,0.3,16.3,2.5
2,2020-01-01 00:08:19,2020-01-01 00:20:06,2.0,2.58,1.0,N,43,229,1.0,11.0,0.5,0.5,4.44,0.0,0.3,19.24,2.5
2,2020-01-01 00:08:23,2020-01-01 00:33:21,1.0,9.8,1.0,N,170,258,2.0,30.5,0.5,0.5,0.0,6.12,0.3,40.42,2.5
2,2020-01-01 00:08:33,2020-01-01 00:29:21,2.0,1.12,1.0,N,246,186,2.0,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5
2,2020-01-01 00:08:37,2020-01-01 00:14:44,1.0,0.95,1.0,N,114,79,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
1,2020-01-01 00:08:39,2020-01-01 00:26:08,1.0,4.5,1.0,N,237,166,2.0,16.0,3.0,0.5,0.0,0.0,0.3,19.8,2.5
2,2020-01-01 00:08:49,2020-01-01 00:11:52,1.0,0.66,1.0,N,229,233,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
2,2020-01-01 00:08:50,2020-01-01 00:11:57,1.0,0.81,1.0,N,231,88,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
2,2020-01-01 00:08:51,2020-01-01 00:20:29,1.0,1.04,1.0,N,107,90,1.0,9.0,0.5,0.5,1.0,0.0,0.3,13.8,2.5
2,2020-01-01 00:08:51,2020-01-01 00:14:00,1.0,0.7,1.0,N,164,170,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
2,2020-01-01 00:08:52,2020-01-01 00:24:43,1.0,3.41,1.0,N,125,255,1.0,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5
2,2020-01-01 00:08:56,2020-01-01 00:21:28,5.0,1.27,1.0,N,68,246,1.0,9.0,0.5,0.5,1.0,0.0,0.3,13.8,2.5
2,2020-01-01 00:08:57,2020-01-01 00:17:44,2.0,1.46,1.0,N,262,262,2.0,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
